"","quality","model","algorithm","variable","seed","total_ess"
"1","good","8-schools","F--T F--T","tau",1,15375.1118946024
"2","good","8-schools","F--T F--T","tau",2,15199.0979668086
"3","good","8-schools","F--T F--T","tau",3,15256.0399270523
"4","good","8-schools","F--T F--T","tau",4,14034.1872737002
"5","good","8-schools","F--T F--T","tau",5,15724.5831695696
"6","good","8-schools","F--T F--T","tau",6,15507.6220642767
"7","good","8-schools","F--T F--T","tau",7,14947.7256032297
"8","good","8-schools","F--T F--T","tau",8,15499.4796765463
"9","good","8-schools","F--T F--T","tau",9,14883.9311302986
"10","good","8-schools","F--T F--T","tau",10,15581.0075493488
"11","good","8-schools","V--T* F--T","tau",1,11453.0215129261
"12","good","8-schools","V--T* F--T","tau",2,9333.73095998525
"13","good","8-schools","V--T* F--T","tau",3,11127.7992146972
"14","good","8-schools","V--T* F--T","tau",4,12266.2181638048
"15","good","8-schools","V--T* F--T","tau",5,11086.0797952973
"16","good","8-schools","V--T* F--T","tau",6,10177.4543439119
"17","good","8-schools","V--T* F--T","tau",7,11771.9657855245
"18","good","8-schools","V--T* F--T","tau",8,12628.4938832609
"19","good","8-schools","V--T* F--T","tau",9,11095.0689706666
"20","good","8-schools","V--T* F--T","tau",10,11476.0396195346
"21","good","8-schools","V--T* F--T*","tau",1,10728.3103751385
"22","good","8-schools","V--T* F--T*","tau",2,9730.91581363022
"23","good","8-schools","V--T* F--T*","tau",3,11347.1089141167
"24","good","8-schools","V--T* F--T*","tau",4,11096.9495376825
"25","good","8-schools","V--T* F--T*","tau",5,12049.0026959051
"26","good","8-schools","V--T* F--T*","tau",6,10882.6348820819
"27","good","8-schools","V--T* F--T*","tau",7,10196.9779932938
"28","good","8-schools","V--T* F--T*","tau",8,12104.3825692353
"29","good","8-schools","V--T* F--T*","tau",9,12219.1540451998
"30","good","8-schools","V--T* F--T*","tau",10,12082.3652248797
"31","good","8-schools","V--T*--F","tau",1,18904.5716481015
"32","good","8-schools","V--T*--F","tau",2,17683.1471966215
"33","good","8-schools","V--T*--F","tau",3,19474.6135612083
"34","good","8-schools","V--T*--F","tau",4,22215.9334977048
"35","good","8-schools","V--T*--F","tau",5,23457.649666327
"36","good","8-schools","V--T*--F","tau",6,20372.6667510751
"37","good","8-schools","V--T*--F","tau",7,23413.9435417902
"38","good","8-schools","V--T*--F","tau",8,21248.7518179739
"39","good","8-schools","V--T*--F","tau",9,21536.5217180935
"40","good","8-schools","V--T*--F","tau",10,18006.4579077914
"41","good","coll-rockets","F--T F--T","p0",1,13606.9079536498
"42","good","coll-rockets","F--T F--T","p0",2,11860.552287145
"43","good","coll-rockets","F--T F--T","p0",3,12561.8144084107
"44","good","coll-rockets","F--T F--T","p0",4,12746.5755463698
"45","good","coll-rockets","F--T F--T","p0",5,11312.2060009645
"46","good","coll-rockets","F--T F--T","p0",6,11301.7587936205
"47","good","coll-rockets","F--T F--T","p0",7,12164.9321356749
"48","good","coll-rockets","F--T F--T","p0",8,11356.2786846177
"49","good","coll-rockets","F--T F--T","p0",9,11051.2435529705
"50","good","coll-rockets","F--T F--T","p0",10,13352.8142165611
"51","good","coll-rockets","V--T* F--T","p0",1,14521.1243798989
"52","good","coll-rockets","V--T* F--T","p0",2,12178.5887353013
"53","good","coll-rockets","V--T* F--T","p0",3,12009.8109764024
"54","good","coll-rockets","V--T* F--T","p0",4,13843.7216525585
"55","good","coll-rockets","V--T* F--T","p0",5,13649.9732692141
"56","good","coll-rockets","V--T* F--T","p0",6,14453.6214656971
"57","good","coll-rockets","V--T* F--T","p0",7,12769.2662776523
"58","good","coll-rockets","V--T* F--T","p0",8,15574.2032119129
"59","good","coll-rockets","V--T* F--T","p0",9,13066.443523792
"60","good","coll-rockets","V--T* F--T","p0",10,12887.8879939794
"61","good","coll-rockets","V--T* F--T*","p0",1,13635.2547549684
"62","good","coll-rockets","V--T* F--T*","p0",2,11952.6399124821
"63","good","coll-rockets","V--T* F--T*","p0",3,12541.2435377871
"64","good","coll-rockets","V--T* F--T*","p0",4,13085.9904112817
"65","good","coll-rockets","V--T* F--T*","p0",5,13438.4165524743
"66","good","coll-rockets","V--T* F--T*","p0",6,12903.236865319
"67","good","coll-rockets","V--T* F--T*","p0",7,12755.0576475477
"68","good","coll-rockets","V--T* F--T*","p0",8,12239.3159801224
"69","good","coll-rockets","V--T* F--T*","p0",9,10839.4397667988
"70","good","coll-rockets","V--T* F--T*","p0",10,14339.9331415172
"71","good","coll-rockets","V--T*--F","p0",1,27501.8026189064
"72","good","coll-rockets","V--T*--F","p0",2,22371.4561049631
"73","good","coll-rockets","V--T*--F","p0",3,24577.4247622066
"74","good","coll-rockets","V--T*--F","p0",4,33436.0294170488
"75","good","coll-rockets","V--T*--F","p0",5,27226.0555376622
"76","good","coll-rockets","V--T*--F","p0",6,22950.9971188356
"77","good","coll-rockets","V--T*--F","p0",7,24846.055578868
"78","good","coll-rockets","V--T*--F","p0",8,26835.2299701783
"79","good","coll-rockets","V--T*--F","p0",9,23236.3483706094
"80","good","coll-rockets","V--T*--F","p0",10,24183.7535176954
"81","good","mining","F--T F--T","s",1,22826.9799094555
"82","good","mining","F--T F--T","s",2,24821.3314874063
"83","good","mining","F--T F--T","s",3,21882.1637289801
"84","good","mining","F--T F--T","s",4,21360.9907069319
"85","good","mining","F--T F--T","s",5,26056.011116222
"86","good","mining","F--T F--T","s",6,21702.6929045689
"87","good","mining","F--T F--T","s",7,24600.0769206499
"88","good","mining","F--T F--T","s",8,24553.2001416304
"89","good","mining","F--T F--T","s",9,22369.1058832806
"90","good","mining","F--T F--T","s",10,23992.8772563125
"91","good","mining","V--T* F--T","s",1,24975.5641345462
"92","good","mining","V--T* F--T","s",2,13793.1241910227
"93","good","mining","V--T* F--T","s",3,24550.0365595272
"94","good","mining","V--T* F--T","s",4,24214.1633798484
"95","good","mining","V--T* F--T","s",5,30312.3482604411
"96","good","mining","V--T* F--T","s",6,22056.3994837867
"97","good","mining","V--T* F--T","s",7,24784.5116470727
"98","good","mining","V--T* F--T","s",8,22374.3738393787
"99","good","mining","V--T* F--T","s",9,13339.2725856342
"100","good","mining","V--T* F--T","s",10,25239.419895441
"101","good","mining","V--T* F--T*","s",1,23919.2995340399
"102","good","mining","V--T* F--T*","s",2,23298.6887169874
"103","good","mining","V--T* F--T*","s",3,22331.6920461172
"104","good","mining","V--T* F--T*","s",4,22338.416295862
"105","good","mining","V--T* F--T*","s",5,23784.5943553766
"106","good","mining","V--T* F--T*","s",6,22037.6729429049
"107","good","mining","V--T* F--T*","s",7,23999.808530523
"108","good","mining","V--T* F--T*","s",8,23260.0336274083
"109","good","mining","V--T* F--T*","s",9,21386.3984494631
"110","good","mining","V--T* F--T*","s",10,16958.8438547662
"111","good","mining","V--T*--F","s",1,33959.9139732412
"112","good","mining","V--T*--F","s",2,32351.8264204353
"113","good","mining","V--T*--F","s",3,31508.2187451129
"114","good","mining","V--T*--F","s",4,35747.951032593
"115","good","mining","V--T*--F","s",5,33715.7173715116
"116","good","mining","V--T*--F","s",6,33709.3965946612
"117","good","mining","V--T*--F","s",7,35916.2781958484
"118","good","mining","V--T*--F","s",8,32662.0947037518
"119","good","mining","V--T*--F","s",9,29475.8722454232
"120","good","mining","V--T*--F","s",10,30590.4631755128
"121","good","mrna-no-transf","F--T F--T","beta",1,2131.52677906553
"122","good","mrna-no-transf","F--T F--T","beta",3,1914.96400721319
"123","good","mrna-no-transf","F--T F--T","beta",4,2203.17398146041
"124","good","mrna-no-transf","F--T F--T","beta",5,2360.08227057412
"125","good","mrna-no-transf","F--T F--T","beta",6,2708.64204815247
"126","good","mrna-no-transf","F--T F--T","beta",7,2434.52702994479
"127","good","mrna-no-transf","F--T F--T","beta",8,2814.02860759499
"128","good","mrna-no-transf","F--T F--T","beta",9,2180.10701008813
"129","good","mrna-no-transf","F--T F--T","beta",10,3309.06440394873
"130","good","mrna-no-transf","V--T* F--T","beta",2,3013.95742600646
"131","good","mrna-no-transf","V--T* F--T","beta",3,2746.84914932703
"132","good","mrna-no-transf","V--T* F--T","beta",5,3183.04289496043
"133","good","mrna-no-transf","V--T* F--T","beta",7,2762.25420955015
"134","good","mrna-no-transf","V--T* F--T","beta",8,2783.0562652297
"135","good","mrna-no-transf","V--T* F--T","beta",9,2644.72848919106
"136","good","mrna-no-transf","V--T* F--T","beta",10,3011.88867087944
"137","good","mrna-no-transf","V--T* F--T*","beta",1,2785.98481299393
"138","good","mrna-no-transf","V--T* F--T*","beta",2,2847.36230201688
"139","good","mrna-no-transf","V--T* F--T*","beta",3,2574.83572693607
"140","good","mrna-no-transf","V--T* F--T*","beta",4,2662.05895329356
"141","good","mrna-no-transf","V--T* F--T*","beta",5,2619.34810329081
"142","good","mrna-no-transf","V--T* F--T*","beta",6,3259.938265275
"143","good","mrna-no-transf","V--T* F--T*","beta",7,2845.64156394984
"144","good","mrna-no-transf","V--T* F--T*","beta",8,2892.78226635017
"145","good","mrna-no-transf","V--T* F--T*","beta",9,2765.28315470639
"146","good","mrna-no-transf","V--T* F--T*","beta",10,3542.41092329265
"147","good","mrna-no-transf","V--T*--F","beta",1,5361.4005007464
"148","good","mrna-no-transf","V--T*--F","beta",2,6759.03426101871
"149","good","mrna-no-transf","V--T*--F","beta",3,4677.57972768544
"150","good","mrna-no-transf","V--T*--F","beta",4,4110.35325878028
"151","good","mrna-no-transf","V--T*--F","beta",5,4786.55864259358
"152","good","mrna-no-transf","V--T*--F","beta",6,5316.7935804125
"153","good","mrna-no-transf","V--T*--F","beta",7,4854.43429198769
"154","good","mrna-no-transf","V--T*--F","beta",8,5616.48783989796
"155","good","mrna-no-transf","V--T*--F","beta",9,4788.58906470649
"156","good","mrna-no-transf","V--T*--F","beta",10,5251.8589737561
"157","good","phylo","F--T F--T","rate",1,12992.5343037882
"158","good","phylo","F--T F--T","rate",2,17859.6524383239
"159","good","phylo","F--T F--T","rate",3,11664.3383792214
"160","good","phylo","F--T F--T","rate",4,16970.2431622789
"161","good","phylo","F--T F--T","rate",5,13264.6577172814
"162","good","phylo","F--T F--T","rate",6,16991.1310442039
"163","good","phylo","F--T F--T","rate",7,14354.6933336652
"164","good","phylo","F--T F--T","rate",8,12722.2189327652
"165","good","phylo","F--T F--T","rate",9,14712.2338730676
"166","good","phylo","F--T F--T","rate",10,14143.621911943
"167","good","phylo","V--T* F--T","rate",1,14854.9184876605
"168","good","phylo","V--T* F--T","rate",2,13487.8990067932
"169","good","phylo","V--T* F--T","rate",3,14724.7196534347
"170","good","phylo","V--T* F--T","rate",4,17516.5500871752
"171","good","phylo","V--T* F--T","rate",5,11639.743850069
"172","good","phylo","V--T* F--T","rate",6,14099.639126148
"173","good","phylo","V--T* F--T","rate",7,15985.7872002778
"174","good","phylo","V--T* F--T","rate",8,15750.5362894454
"175","good","phylo","V--T* F--T","rate",9,15216.4901087716
"176","good","phylo","V--T* F--T","rate",10,17483.300375793
"177","good","phylo","V--T* F--T*","rate",1,14175.2107744956
"178","good","phylo","V--T* F--T*","rate",2,17434.0893419922
"179","good","phylo","V--T* F--T*","rate",3,12133.7897790613
"180","good","phylo","V--T* F--T*","rate",4,16178.3854397092
"181","good","phylo","V--T* F--T*","rate",5,15122.3955015929
"182","good","phylo","V--T* F--T*","rate",6,14917.6907136854
"183","good","phylo","V--T* F--T*","rate",7,14414.5133881644
"184","good","phylo","V--T* F--T*","rate",8,13671.9542780771
"185","good","phylo","V--T* F--T*","rate",9,14537.5744082751
"186","good","phylo","V--T* F--T*","rate",10,13234.598992339
"187","good","phylo","V--T*--F","rate",1,29500.5806739597
"188","good","phylo","V--T*--F","rate",2,24917.395236311
"189","good","phylo","V--T*--F","rate",3,14509.6378726049
"190","good","phylo","V--T*--F","rate",4,24426.5593356883
"191","good","phylo","V--T*--F","rate",5,27869.5602402317
"192","good","phylo","V--T*--F","rate",6,17839.9850646928
"193","good","phylo","V--T*--F","rate",7,21862.7951415757
"194","good","phylo","V--T*--F","rate",8,21675.839366443
"195","good","phylo","V--T*--F","rate",9,25089.4113215773
"196","good","phylo","V--T*--F","rate",10,24416.1974430999
"197","good","sparse-car","F--T F--T","alpha",1,6932.47408021744
"198","good","sparse-car","F--T F--T","alpha",2,8618.39738069196
"199","good","sparse-car","F--T F--T","alpha",3,7077.05663238734
"200","good","sparse-car","F--T F--T","alpha",4,6725.01470871686
"201","good","sparse-car","F--T F--T","alpha",5,7064.59154297383
"202","good","sparse-car","F--T F--T","alpha",6,7296.23605291552
"203","good","sparse-car","F--T F--T","alpha",7,7396.73132107898
"204","good","sparse-car","F--T F--T","alpha",8,6429.40259886258
"205","good","sparse-car","F--T F--T","alpha",9,8557.94618529766
"206","good","sparse-car","F--T F--T","alpha",10,6980.92242182304
"207","good","sparse-car","V--T* F--T","alpha",1,5791.80674292147
"208","good","sparse-car","V--T* F--T","alpha",2,8122.08297908547
"209","good","sparse-car","V--T* F--T","alpha",3,6901.98311449762
"210","good","sparse-car","V--T* F--T","alpha",4,6159.64303062549
"211","good","sparse-car","V--T* F--T","alpha",5,6457.62906018173
"212","good","sparse-car","V--T* F--T","alpha",6,8328.28838437332
"213","good","sparse-car","V--T* F--T","alpha",7,6846.96202299034
"214","good","sparse-car","V--T* F--T","alpha",8,6706.48522188124
"215","good","sparse-car","V--T* F--T","alpha",9,5891.04829428214
"216","good","sparse-car","V--T* F--T","alpha",10,8673.35251941235
"217","good","sparse-car","V--T* F--T*","alpha",1,6102.76013324778
"218","good","sparse-car","V--T* F--T*","alpha",2,8016.87870381683
"219","good","sparse-car","V--T* F--T*","alpha",3,7585.89494005434
"220","good","sparse-car","V--T* F--T*","alpha",4,6588.45594634194
"221","good","sparse-car","V--T* F--T*","alpha",5,7298.02268354536
"222","good","sparse-car","V--T* F--T*","alpha",6,7118.53383401673
"223","good","sparse-car","V--T* F--T*","alpha",7,5762.39716272451
"224","good","sparse-car","V--T* F--T*","alpha",8,5502.63726408357
"225","good","sparse-car","V--T* F--T*","alpha",9,7514.48857545101
"226","good","sparse-car","V--T* F--T*","alpha",10,6180.9819237963
"227","good","sparse-car","V--T*--F","alpha",1,16769.4899056054
"228","good","sparse-car","V--T*--F","alpha",2,14441.7129127646
"229","good","sparse-car","V--T*--F","alpha",3,12634.1049255553
"230","good","sparse-car","V--T*--F","alpha",4,13448.6224803005
"231","good","sparse-car","V--T*--F","alpha",5,15075.9280661766
"232","good","sparse-car","V--T*--F","alpha",6,14259.5623461384
"233","good","sparse-car","V--T*--F","alpha",7,13176.1811723522
"234","good","sparse-car","V--T*--F","alpha",8,14815.0075363089
"235","good","sparse-car","V--T*--F","alpha",9,15822.4347655852
"236","good","sparse-car","V--T*--F","alpha",10,11054.468808891
"237","good","titanic","F--T F--T","sigma",1,18490.8532307738
"238","good","titanic","F--T F--T","sigma",2,15501.9373617093
"239","good","titanic","F--T F--T","sigma",3,16887.8957773838
"240","good","titanic","F--T F--T","sigma",4,17915.7374862302
"241","good","titanic","F--T F--T","sigma",5,16282.3593925151
"242","good","titanic","F--T F--T","sigma",6,17105.6838267857
"243","good","titanic","F--T F--T","sigma",7,18528.9904485553
"244","good","titanic","F--T F--T","sigma",8,17217.3447411211
"245","good","titanic","F--T F--T","sigma",9,19065.3743138411
"246","good","titanic","F--T F--T","sigma",10,18404.2320017533
"247","good","titanic","V--T* F--T","sigma",1,20920.7290519372
"248","good","titanic","V--T* F--T","sigma",2,20081.9377498774
"249","good","titanic","V--T* F--T","sigma",3,20600.8552722008
"250","good","titanic","V--T* F--T","sigma",4,20328.8878416187
"251","good","titanic","V--T* F--T","sigma",6,21078.2400738596
"252","good","titanic","V--T* F--T","sigma",7,21108.8744610128
"253","good","titanic","V--T* F--T","sigma",8,18187.3462822806
"254","good","titanic","V--T* F--T","sigma",9,23480.9692619887
"255","good","titanic","V--T* F--T","sigma",10,18679.6234340199
"256","good","titanic","V--T* F--T*","sigma",1,20700.618851264
"257","good","titanic","V--T* F--T*","sigma",2,20030.2742520208
"258","good","titanic","V--T* F--T*","sigma",3,20264.3464821346
"259","good","titanic","V--T* F--T*","sigma",4,23069.071297052
"260","good","titanic","V--T* F--T*","sigma",5,20927.7979331334
"261","good","titanic","V--T* F--T*","sigma",6,20548.1835517292
"262","good","titanic","V--T* F--T*","sigma",7,18529.2429547543
"263","good","titanic","V--T* F--T*","sigma",8,17476.9986376217
"264","good","titanic","V--T* F--T*","sigma",9,23197.2904162153
"265","good","titanic","V--T* F--T*","sigma",10,19965.4977243275
"266","good","titanic","V--T*--F","sigma",1,30100.760607199
"267","good","titanic","V--T*--F","sigma",2,40276.8941004058
"268","good","titanic","V--T*--F","sigma",3,33418.1395801213
"269","good","titanic","V--T*--F","sigma",4,27060.3427829747
"270","good","titanic","V--T*--F","sigma",5,35069.8567722416
"271","good","titanic","V--T*--F","sigma",6,33848.3908498704
"272","good","titanic","V--T*--F","sigma",7,29902.2820376899
"273","good","titanic","V--T*--F","sigma",8,29770.6448552768
"274","good","titanic","V--T*--F","sigma",9,30930.4089205149
"275","good","titanic","V--T*--F","sigma",10,31502.5124025953
"276","good","toy-mix","F--T F--T","x",1,1945.20785956354
"277","good","toy-mix","F--T F--T","x",2,1973.65777408284
"278","good","toy-mix","F--T F--T","x",3,2002.20043241285
"279","good","toy-mix","F--T F--T","x",4,1754.87760542343
"280","good","toy-mix","F--T F--T","x",5,1692.71439632927
"281","good","toy-mix","F--T F--T","x",6,1908.3765325976
"282","good","toy-mix","F--T F--T","x",7,1799.80637992321
"283","good","toy-mix","F--T F--T","x",8,1811.52516861966
"284","good","toy-mix","F--T F--T","x",9,1722.13037981353
"285","good","toy-mix","F--T F--T","x",10,1874.79081142584
"286","good","toy-mix","V--T* F--T","x",1,3346.78585811114
"287","good","toy-mix","V--T* F--T","x",2,3354.25148626499
"288","good","toy-mix","V--T* F--T","x",3,3186.36024810088
"289","good","toy-mix","V--T* F--T","x",5,3233.77812925579
"290","good","toy-mix","V--T* F--T","x",6,3890.47207466073
"291","good","toy-mix","V--T* F--T","x",7,2556.1206330874
"292","good","toy-mix","V--T* F--T","x",8,3630.54199601748
"293","good","toy-mix","V--T* F--T","x",9,2969.99220179718
"294","good","toy-mix","V--T* F--T","x",10,3689.61021564348
"295","good","toy-mix","V--T* F--T*","x",1,3327.43321735214
"296","good","toy-mix","V--T* F--T*","x",2,3677.33591239725
"297","good","toy-mix","V--T* F--T*","x",3,3126.94865157169
"298","good","toy-mix","V--T* F--T*","x",4,3245.63774582516
"299","good","toy-mix","V--T* F--T*","x",5,2982.71295007542
"300","good","toy-mix","V--T* F--T*","x",6,3165.80322996759
"301","good","toy-mix","V--T* F--T*","x",7,2947.54449525719
"302","good","toy-mix","V--T* F--T*","x",8,3223.74714305635
"303","good","toy-mix","V--T* F--T*","x",9,3081.57442216302
"304","good","toy-mix","V--T* F--T*","x",10,3635.30006904746
"305","good","toy-mix","V--T*--F","x",1,8675.04071519805
"306","good","toy-mix","V--T*--F","x",2,5338.42650966619
"307","good","toy-mix","V--T*--F","x",3,6144.02980078694
"308","good","toy-mix","V--T*--F","x",4,6114.33741752047
"309","good","toy-mix","V--T*--F","x",5,5414.28504331841
"310","good","toy-mix","V--T*--F","x",6,6553.56076378755
"311","good","toy-mix","V--T*--F","x",7,6095.4921042165
"312","good","toy-mix","V--T*--F","x",8,5890.98593886075
"313","good","toy-mix","V--T*--F","x",9,6180.29889447394
"314","good","toy-mix","V--T*--F","x",10,6334.75416416657
"315","good","vaccines","F--T F--T","eff_m",1,28138.9452259034
"316","good","vaccines","F--T F--T","eff_m",2,33407.9939422111
"317","good","vaccines","F--T F--T","eff_m",3,30264.7766490782
"318","good","vaccines","F--T F--T","eff_m",4,26833.2759979293
"319","good","vaccines","F--T F--T","eff_m",5,30957.4141126065
"320","good","vaccines","F--T F--T","eff_m",6,27722.2594825667
"321","good","vaccines","F--T F--T","eff_m",7,28173.5668280157
"322","good","vaccines","F--T F--T","eff_m",8,32143.9951684615
"323","good","vaccines","F--T F--T","eff_m",9,34288.4662529254
"324","good","vaccines","F--T F--T","eff_m",10,33131.0800848501
"325","good","vaccines","V--T* F--T","eff_m",1,26342.6425039909
"326","good","vaccines","V--T* F--T","eff_m",2,39037.3351295094
"327","good","vaccines","V--T* F--T","eff_m",3,27114.3219989078
"328","good","vaccines","V--T* F--T","eff_m",4,27788.7419585886
"329","good","vaccines","V--T* F--T","eff_m",5,30804.8496850439
"330","good","vaccines","V--T* F--T","eff_m",6,24265.847644284
"331","good","vaccines","V--T* F--T","eff_m",7,25364.428274171
"332","good","vaccines","V--T* F--T","eff_m",8,30926.4414970988
"333","good","vaccines","V--T* F--T","eff_m",9,31238.4255655101
"334","good","vaccines","V--T* F--T","eff_m",10,35712.7577521011
"335","good","vaccines","V--T* F--T*","eff_m",1,31465.0267482689
"336","good","vaccines","V--T* F--T*","eff_m",2,34235.8369716969
"337","good","vaccines","V--T* F--T*","eff_m",3,31420.4105079452
"338","good","vaccines","V--T* F--T*","eff_m",4,27999.0083520015
"339","good","vaccines","V--T* F--T*","eff_m",5,30836.1328553092
"340","good","vaccines","V--T* F--T*","eff_m",6,29594.3069927364
"341","good","vaccines","V--T* F--T*","eff_m",7,27629.7003772566
"342","good","vaccines","V--T* F--T*","eff_m",8,32028.1523903938
"343","good","vaccines","V--T* F--T*","eff_m",9,36174.1056302462
"344","good","vaccines","V--T* F--T*","eff_m",10,34009.0314915752
"345","good","vaccines","V--T*--F","eff_m",1,36080.610399886
"346","good","vaccines","V--T*--F","eff_m",2,34310.2546691082
"347","good","vaccines","V--T*--F","eff_m",3,35742.0746088279
"348","good","vaccines","V--T*--F","eff_m",4,36091.7671065205
"349","good","vaccines","V--T*--F","eff_m",5,38872.0078212721
"350","good","vaccines","V--T*--F","eff_m",6,31577.8036347074
"351","good","vaccines","V--T*--F","eff_m",7,33615.0100371706
"352","good","vaccines","V--T*--F","eff_m",8,35135.7722002027
"353","good","vaccines","V--T*--F","eff_m",9,41000.2247169064
"354","good","vaccines","V--T*--F","eff_m",10,41381.6335935093
"355","poor","mrna-no-transf","F--T F--T","beta",2,2170.1607297684
"356","poor","mrna-no-transf","V--T* F--T","beta",1,6490.82714576988
"357","poor","mrna-no-transf","V--T* F--T","beta",4,1813.42423721136
"358","poor","mrna-no-transf","V--T* F--T","beta",6,6236.25580260663
"359","poor","toy-mix","V--T* F--T","x",4,5162.00404797504
